지역,토지면적(km),전남지역 구성비(%),행정구역(시+군),행정구역(시),행정구역(군),행정구역(읍+면+동),행정구역(읍),행정구역(면),행정구역(동)_행정,행정구역_(동)_법정,전지(논),답지(쌀캐는 땅),과수원,목장용지,임  야,광천지,염  전,대  지,공장용지,학교용지,주차장,주유소용지,창고용지,도  로,철도용지,제  방,하  천,구  거,유  지,양어장,수도용지,공  원,체육용지,유원지,종교용지,사적지,묘  지,잡종지,출생(남+여)(시군구별),출생(남)(시군구별),출생(여)(시군구별),출생(남+여)(시군구별),출생(남)(시군구별),출생(여)(시군구별),혼인(시군구별),이혼(시군구별),65세 이상 고령자 수(시군구별),평균연령(세)(시군구별),인구밀도(1/m2)(시군구별),한국인등록인구(시군구별),외국인등록인구(시군구별),등록인구총합(시군구별),"출판, 영상, 방송통신 및 정보서비스업(사업체수)",금융 및 보험업(사업체수),부동산업 및 임대업(사업체수),"전문, 과학 및 기술 서비스업(사업체수)",사업시설관리 및 사업지원 서비스업(사업체수),"공공행정, 국방 및 사회보장행정(사업체수)",교육서비스업(사업체수),보건업 및 사회복지 서비스업(사업체수),"예술, 스포츠 및 여가 관련 서비스업(사업체수)","협회 및 단체, 수리 및 기타 개인서비스업(사업체수)","출판, 영상, 방송통신 및 정보서비스업(종사자수)",금융 및 보험업(종사자수),부동산업 및 임대업(종사자수),"전문, 과학 및 기술 서비스업(종사자수)",사업시설관리 및 사업지원 서비스업(종사자수),"공공행정, 국방 및 사회보장행정(종사자수)",교육서비스업(종사자수),보건업 및 사회복지 서비스업(종사자수),"예술, 스포츠 및 여가 관련 서비스업(종사자수)","협회 및 단체, 수리 및 기타 개인서비스업(종사자수)",일시수용능력인원(사설학원),강사수(사설학원),강의실수(사설학원),직업기술(평생직업 교육학원 학원수),국제화(평생직업 교육학원 학원수),인문사회(평생직업 교육학원 학원수),기예(평생직업 교육학원 학원수),종합(평생직업 교육학원 학원수),합계(평생직업 교육학원 학원수),입시검정및보습(학교교과 교습학원 학원수),국제화(학교교과 교습학원 학원수),예능(학교교과 교습학원 학원수),특수교육(학교교과 교습학원 학원수),종합(학교교과 교습학원 학원수),정보(학교교과 교습학원 학원수),기타(학교교과 교습학원 학원수),합계(학교교과 교습학원 학원수)
목포시,52,0,1,1,0,23, - , - ,23,64,6417028,1793360,9100,7744,10878505,0,559682,12143569,1743619,1488957,305664,89981,87899,7011222,393664,165141,1400370,635901,170050,6206,223487,1551227,662251,28790,280781, - ,149396,3526242,815,397,418,1761,976,785,681,426,42446,45,4221,214156,4191,218347,217,282,833,559,580,78,1082,796,747,3060,1175,3121,2303,2198,2017,5128,6854,14913,1662,4944,17345,1117,1988,19,-,4,5,1,29,232,43,89,-,12,-,8,384
여수시,512,4,1,1,0,27,1,6,20,51,62856749,38047512,590367,1866319,298877617,0,2828,25241320,21272869,2020523,596137,885331,398135,23972376,1624506,694198,2672929,4506119,2776227,261395,607153,3579256,3565184,426761,473389,20795,1758508,12739684,1121,572,549,2337,1207,1130,1027,519,61135,47,543,271696,6405,278101,178,299,883,637,742,128,1249,891,817,3471,986,3238,2672,3255,6899,6014,7668,13093,2159,5425,20207,1000,2160,28,-,1,2,2,33,248,53,127,-,15,-,44,487
순천시,911,7,1,1,0,24,1,10,13,33,54178021,101570010,2367071,4072542,614690637,25,1041404,24582321,4691065,2410713,489285,130503,829498,29841090,2057325,694462,13002074,14185181,24424043,53140,502658,2417455,3368495,108877,497820,64447,1787000,6981319,1389,709,680,1966,1033,933,1061,491,50517,44,308,278137,2806,280943,242,382,1038,821,697,84,1488,896,929,3469,1296,4316,3072,3742,3533,4647,10146,15004,2581,5997,41343,1301,1982,29,-,6,14,4,53,247,71,139,-,21,-,35,513
나주시,608,5,1,1,0,20,1,12,7,34,60962697,145849622,14033390,4221723,231426546,0, - ,24260731,4163207,2116210,218952,84403,724329,28031995,841237,1813605,33420077,22204207,17653644,143590,191908,2291759,3865771,135364,287787,17700,1765620,7767686,722,361,361,1210,604,606,487,217,28254,47,199,117377,3921,121298,325,104,541,450,336,75,556,448,322,1127,2663,1047,1274,3759,1615,3286,4666,6342,1190,1915,8886,479,929,13,1,-,16,3,33,105,24,46,-,5,-,1,181
광양시,465,4,1,1,0,12,1,6,5,10,18526091,44546159,352813,899013,296417951,0,50762,14780513,24582475,1341990,405572,122330,1147728,21830404,1816967,862304,12531768,4876471,3602070,25620,894509,1899853,552159,219100,192018, - ,1273096,11114089,827,400,427,916,457,459,689,317,23650,44,333,152666,2104,154770,136,109,473,349,440,62,695,467,489,1703,857,1131,1255,2578,6804,2985,4501,6871,1490,2867,7072,540,937,11,-,-,7,3,21,127,25,65,-,15,3,9,244
담양군,455,4,1,0,1,12,1,11,0,0,25355612,78241331,954254,2173199,272543982,0, - ,13567932,2134227,872127,212673,47932,446296,19070734,104203,1482545,9757834,11650763,8265698,48033,77661,551175,1140144,134878,196047,65620,1292463,4686138,188,91,97,655,331,324,135,84,15373,53,102,45373,1247,46620,52,34,143,116,138,39,121,185,130,409,191,242,222,575,483,1428,1314,2587,474,629,822,36,87,2,-,-,-,-,2,11,-,5,-,1,-,-,17
곡성군,547,4,1,0,1,11,1,10,0,0,28634420,62607626,1082537,1636642,393094345,0, - ,8576927,1456317,653433,65443,36244,297655,13342696,594655,1229382,13851032,11793769,3248193,103439,52389,85919,1059359,263514,210118,2034,1277814,2036928,63,32,31,471,229,242,55,57,10576,57,50,26905,508,27413,28,24,36,68,63,32,92,128,89,311,99,256,43,268,157,1203,963,1791,436,451,532,28,58,-,-,-,-,-,-,9,2,1,-,3,-,-,15
구례군,443,4,1,0,1,8,1,7,0,0,18879240,40849526,714153,784076,339781327,20, - ,7529907,352286,528811,87175,10448,179824,10427472, - ,566172,11689434,6378893,1953601,6911,27269,173578,211476,113301,227453,14420,599182,878582,51,32,19,411,194,217,48,47,9246,56,55,24314,210,24524,26,29,47,59,48,31,87,102,73,299,132,192,68,207,144,852,641,1448,312,496,769,37,62,1,-,-,-,-,1,14,2,4,-,-,-,-,20
고흥군,807,7,1,0,1,16,2,14,0,0,80214953,155793969,2493763,2740379,450099319, - ,231158,17127706,869278,1417764,109965,56718,1154125,28505671, - ,2114568,7594197,17988318,27739964,484465,196962,123972,195336,33756,301179,23468,1873218,7689920,164,79,85,1158,548,610,148,108,27061,58,78,61113,1689,62802,41,79,58,105,86,55,181,230,167,775,182,686,93,380,213,1882,1414,3076,354,1094,2371,72,172,2,-,-,-,-,2,18,12,13,-,-,-,1,44
보성군,665,5,1,0,1,12,2,10,0,0,48704409,109530647,2391909,1754304,410018991, - ,165242,14519057,658792,940236,103525,53670,527705,24137121,911472,1480708,8932938,14481891,17977671,209873,76545,81180,1086598,51458,227235, - ,1176984,4394465,103,52,51,751,384,367,85,67,15952,57,58,37686,799,38485,28,49,33,64,57,56,120,154,86,444,124,328,60,166,174,1430,1117,2217,273,627,216,48,187,-,-,-,-,1,1,14,2,6,-,-,-,1,23
화순군,787,6,1,0,1,13,1,12,0,0,47507943,70105749,1677726,1895611,574533600,363, - ,13374977,1759879,920597,134273,52880,542508,19122790,835637,1288770,15529639,14222435,14171241,110483,679516,347573,2084776,101239,267373,920,2609415,3292236,213,124,89,714,341,373,184,115,18185,51,79,61254,1022,62276,62,46,208,190,131,55,241,265,161,652,178,380,478,1263,473,1551,1545,5623,906,1017,2741,129,328,4,-,-,1,-,5,44,2,18,-,1,-,1,66
장흥군,622,5,1,0,1,10,3,7,0,0,33306317,95536487,834851,3334083,401098650, - ,93,11792957,1864054,607352,96031,32355,597146,20943204,5875,2416083,14053871,10868113,18010525,242651,357953,577770,1110665,159547,206120,5863,1663163,2653851,137,73,64,596,303,293,91,74,13264,55,57,35046,634,35680,20,46,67,92,59,55,127,159,84,626,97,404,148,354,109,2190,954,1827,265,853,912,49,73,1,-,-,-,-,1,15,3,4,-,1,-,2,25
강진군,501,4,1,0,1,11,1,10,0,0,30284075,107489884,741988,3096569,286711521, - ,425,11218202,1238820,844164,66485,35161,525456,17978600, - ,1588917,10335515,12453372,9610895,392200,376508,152079,200945,57770,182414,14817,1262372,4038505,156,85,71,551,242,309,88,73,12505,55,66,32722,570,33292,28,39,49,66,65,48,124,145,93,527,137,457,69,331,156,1561,1025,1857,376,689,821,47,93,-,-,-,-,-,-,15,3,9,-,-,-,-,27
해남군,1045,8,1,0,1,14,1,13,0,0,122973349,233683043,1215634,7368941,442928744, - ,1595814,20487718,1258421,1339339,286465,88713,1501598,41328169, - ,1869903,11147118,33134731,81841415,998888,629952,3137309,1639718,359164,372950,822751,3593368,29529426,258,126,132,1057,503,554,177,140,23293,54,64,64575,2286,66861,33,72,102,133,142,62,218,256,119,886,217,813,223,448,291,2598,1537,3411,541,1405,2238,117,180,5,-,-,3,-,8,36,1,15,-,2,-,1,55
영암군,612,5,1,0,1,11,2,9,0,0,60413504,158468217,4297922,7770422,225238689, - ,654140,14925928,9281867,1003599,637853,107878,1075392,28572604,2424,1106698,25888839,23840383,20725922,320275,835357,2631947,2668078,212625,282195,2380838,1142803,17944098,187,94,93,650,343,307,179,126,15298,51,99,52350,8221,60571,44,48,79,156,140,41,169,221,114,551,320,441,202,762,676,2017,1762,2455,584,776,1853,98,209,2,-,-,-,-,2,24,3,12,-,6,-,1,46
무안군,451,4,1,0,1,9,3,6,0,0,92839983,86387412,324716,10090954,147763383, - ,1281585,15518825,1619564,1440749,239113,53148,831432,24198649,1076056,1273283,17862251,11332807,13088962,246002,1042182,1337924,1984950,175055,224692, - ,910137,17796169,472,237,235,849,442,407,341,165,19000,45,205,90296,2083,92379,43,88,333,207,119,52,498,300,212,884,195,1076,931,1115,660,5238,4201,4040,1041,1415,9644,635,923,4,-,1,7,1,13,125,28,57,-,14,-,13,237
함평군,392,3,1,0,1,9,1,8,0,0,47659082,88020399,638266,3180961,180967524, - , - ,12427324,1942601,833718,78818,31156,630525,19028789,607112,1605632,10611976,10756997,5518348,275791,1161973,508818,1873102,414152,160633, - ,368922,2795062,100,41,59,470,209,261,66,51,12326,57,81,30601,971,31572,31,29,47,73,63,34,94,150,59,397,109,214,65,207,225,1341,896,1843,357,514,404,30,52,-,-,-,-,-,-,5,-,6,-,1,-,-,12
영광군,475,4,1,0,1,11,3,8,0,0,59877641,112704898,604318,3296605,206395988, - ,4797878,14363480,5152168,1023440,107834,48633,504721,20603459, - ,1643858,10690399,13015378,8199707,1885883,642651,397731,1297991,15532,178169,4864,594359,6497966,362,180,182,782,407,375,175,87,16281,51,111,51750,1121,52871,35,49,90,120,112,48,185,212,96,586,131,419,171,600,815,1260,1261,2595,287,798,3749,159,312,2,-,-,-,-,2,49,3,17,-,1,-,-,70
장성군,518,4,1,0,1,11,1,10,0,0,34300925,77635729,2828069,1388607,315905315, - , - ,12144379,3212585,686617,192265,47408,692030,20493786,1119446,1026112,10892293,12051870,11300339,42083,177174,300023,850199,191629,196656,62684,1321699,9287077,172,87,85,595,312,283,123,85,14143,53,84,42543,1135,43678,35,30,145,122,113,35,118,139,87,407,142,337,238,437,375,1639,1066,1447,330,855,1272,64,129,-,-,1,-,-,1,19,4,8,-,1,-,-,32
완도군,397,3,1,0,1,12,3,9,0,0,52852753,34962706,1104010,1778485,258089414, - ,608949,10553850,567732,1038629,61591,15066,352575,13891277, - ,687961,1085268,4220234,4992872,2159461,666646,101278,177686,5750,134703,16108,1367249,5375876,145,78,67,724,352,372,146,116,16776,54,127,46641,3907,50548,37,59,52,69,96,69,176,163,115,603,165,733,85,208,164,2154,1308,1594,362,782,1547,71,165,3,-,-,1,-,4,18,3,13,-,2,-,-,36
진도군,440,4,1,0,1,7,1,6,0,0,54797124,72010221,659439,479581,252049905, - ,268704,8137634,546309,692779,83005,20153,451561,16090409, - ,914212,3865902,8727098,13293791,868249,82126,149846,212352,66216,126651,7365,1675453,3834734,81,41,40,480,245,235,76,63,10679,54,71,28979,2070,31049,20,32,41,48,52,40,99,121,104,481,116,304,60,147,111,1294,774,1072,333,609,963,41,95,-,-,-,-,-,-,14,2,8,-,-,1,-,25
신안군,656,5,1,0,1,14,2,12,0,0,107544807,102438427,151938,5320448,324982612, - ,35588026,11438007,522488,1053265,136559,10425,628038,15308525, - ,2185920,14141,18434340,12803658,1550208,216939,55533,204941,62573,142806, - ,1983443,13078873,102,45,57,682,353,329,95,89,14914,57,60,38037,1210,39247,32,28,246,38,61,86,88,145,56,376,161,251,272,279,136,2269,883,1314,173,483,198,11,21,-,-,-,-,-,-,2,-,3,-,1,-,-,6
